Wavelength,A,B,C,D,E,F,G,H,I,J,K,L
443.9299927,1.084991813,1.09215796,0.230222806,0.445797533,0.290595889,0.212301329,21.64941978,229.4792633,0.235064164,0.897300363,15.36292171,4.426756382
445,1.222061396,1.233280063,-0.031864762,0.06072123,0.248317763,0.319803089,22.12522888,236.4579926,0.387662828,0.796361744,16.15245438,4.272659779
446.0599976,0.823350728,1.118674159,0.199946478,0.106769174,0.323886037,0.320826381,23.10170937,243.2966309,0.405465633,0.849133492,16.91896057,4.032837868
446.9599915,1.041373968,1.113380432,0.074167818,0.181980714,0.519051969,0.228900418,23.61588478,250.608551,0.374434412,0.756933332,16.81817055,4.099696636
448.0299988,1.233840823,1.022351265,0.400746495,0.123483859,0.059981663,0.262008369,24.06641579,259.2481384,0.419045121,0.709705532,17.56627464,4.122788429
448.9299927,0.750181317,1.13525033,0.045758426,0.106136985,0.181951881,0.216116712,24.52861214,264.931488,0.494474649,0.983121157,17.68602371,4.445311546
450,0.825427294,1.291207194,0.366347343,0.213162869,0.374250829,0.292052269,26.04697037,269.7658997,0.364451289,1.108923793,17.97706032,4.812400341
451.0599976,0.949077785,1.145759344,0.153303728,0.260370493,0.220833644,0.508157313,26.08570862,276.7597351,0.438253433,1.067615032,18.49762154,4.534719944
451.9599915,1.014504313,1.210495234,0.212614074,0.293154538,0.259412468,0.232208073,26.99273109,286.8965149,0.282994956,0.878428161,19.15804291,4.714476585
453.0299988,0.976727903,1.293779492,0.137182608,0.10481967,0.303312272,0.309962899,27.3836956,293.4108276,0.2793293,0.864683747,19.51111794,4.701330185
453.9299927,0.708800614,1.246993661,0.074562564,0.305003345,0.090634458,0.229244009,28.07769203,298.8711548,0.434735388,1.106691837,19.7937603,4.988843918
455,0.963296711,1.237137794,0.135159731,0.157616526,0.27476877,0.367745519,28.63437271,303.4525757,0.370886058,0.941914737,20.49253654,5.000632286
456.0599976,1.175145864,1.126342893,0.120612487,0.02921023,0.289037406,0.091112942,29.60175705,310.7134399,0.411487609,1.036162734,20.82881355,5.106893539
456.9599915,0.909576833,1.045250177,0.057956133,0.199613109,0.243877307,0.322051346,29.7492733,317.2232666,0.48045668,0.921938956,21.79453468,5.018160343
458.0299988,0.988564432,1.05361104,0.335387707,-0.015325109,0.260463268,0.149841681,30.31912613,323.9190979,0.230127484,0.970162034,21.11276627,5.222025394
458.9299927,1.031195641,1.241642237,0.044589389,0.041914407,0.373860747,0.288998187,31.05995369,327.5861206,0.55476737,1.094281077,22.17271042,5.320234299
460,0.933621585,0.969667971,0.07423681,0.061061401,0.140004665,0.196916327,31.25704384,330.7955322,0.358096957,1.170131922,22.45312691,5.300255775
461.0599976,0.809288681,1.238235593,0.088725723,0.185133725,0.55742836,0.441896081,31.55030441,339.4085388,0.276299089,1.163244963,22.87825775,5.097314835
461.9599915,0.785527349,1.004571319,0.366907001,0.199668065,0.29130435,0.136238396,32.19002914,339.3022156,0.308366001,0.933508933,23.09859848,5.290482521
463.0299988,1.011692405,1.139619231,0.043993622,0.259308696,0.184073061,0.275509119,32.26397324,342.9006653,0.463120043,1.058745265,23.52989388,5.509194374
463.9299927,0.709743679,0.928106725,0.214358822,0.106056325,0.380143046,0.318160534,32.94970322,350.052063,0.247951031,1.096427798,23.27560806,5.112693787
465,0.84465313,1.365158558,0.291269541,0.182043329,0.233776212,0.34860599,33.56402206,348.7494812,0.309927195,1.19554162,23.45416451,5.689518452
466.0599976,0.942025781,1.110182166,0.15165779,0.137143478,0.061025515,0.353763312,32.68744659,351.5357666,0.385778368,1.11377871,24.12930489,5.499528408
466.9599915,0.883863151,0.987845659,0.013159402,0.010837023,0.353664011,0.352944374,33.7140274,355.9823303,0.312910706,1.359152913,23.71173286,5.608460426
468.0299988,0.900637507,0.904251039,0.199031875,0.350104511,0.333981752,0.24535121,33.60981369,357.81427,0.479376346,1.129210234,24.59023285,5.604101181
468.9299927,1.006820798,0.928467095,0.090190664,0.305317491,0.135524154,0.199431077,34.00286484,357.0611877,0.521531642,1.188982606,24.2075367,5.576693535
470,0.892112494,1.038525105,0.139102414,0.120952867,0.32071209,0.246514276,34.45706177,360.6694946,0.291456014,1.142619133,24.6671524,5.766248703
471.0400085,0.853350163,0.777467132,0.260217667,0.245389462,0.336947084,0.327211589,33.96496582,361.220459,0.307537735,1.277218461,25.30193138,5.219082832
471.9400024,0.842994034,1.08788991,0.071963325,0.091396652,0.251416028,0.24428612,34.42189789,362.2710571,0.154892847,1.214465141,25.07531929,5.636185646
472.980011,0.753518522,1.089138508,0.118952394,0.475792497,0.271909148,0.432961971,33.9647522,363.6724854,0.545253992,1.322913885,24.89021873,5.812999725
474.019989,0.588565171,0.859287918,0.167277589,0.212604255,0.167035535,0.201370478,34.05883408,361.4444275,0.421078891,1.168032408,25.2797699,5.767698288
475.0700073,0.712728858,0.748777509,0.151575461,0.105383463,0.386965722,0.356439263,34.87189484,362.2549438,0.435072869,1.207169533,25.67054176,5.439450264
475.9700012,0.833386838,0.81821692,0.107612141,0.139666826,0.293413967,0.389250636,34.83081055,359.6439209,0.310050815,1.216720462,25.70685196,5.452023983
477.0100098,0.622109592,0.682191849,0.091674089,0.260531664,0.243215472,0.232687265,34.42887115,362.4364624,0.448112518,1.034072638,25.46919441,5.526125908
478.0499878,0.703231633,0.704097569,0.121045612,0.120893888,0.338389188,0.182242155,34.93835068,360.327179,0.215820521,1.106996655,25.5254631,5.760584354
478.9500122,0.680191577,0.942910731,0.194651648,0.183476999,0.213523746,0.324230105,34.41405487,360.2156982,0.421423286,1.094683051,25.64812851,5.386716366
480,0.712600172,0.950245917,0.027469326,0.350317806,0.136937797,0.061827175,34.17751694,358.8633728,0.436607361,0.924449563,25.53513718,5.164558411
481.0599976,0.643775702,0.965138614,0.250357539,0.200428039,0.152981356,0.36044097,34.03001785,357.0404053,0.139387995,1.026064992,24.98722076,5.170307159
481.9599915,0.755369902,0.682999015,0.288219333,0.167413414,-0.002477189,0.058856118,34.61629486,354.499176,0.495440275,1.06343019,24.94916534,5.529428482
483.0299988,0.709882557,0.924776197,0.169081226,0.152660936,0.059688669,0.228693411,33.65354156,351.052124,0.169563964,1.241746545,25.40459824,5.42269516
483.9299927,0.569498241,0.652712584,0.135916576,0.042826798,0.180399418,0.386041522,33.54314041,348.7946167,0.394620806,1.279695511,25.24658394,5.44381094
485,0.876835346,0.665979505,0.090575449,0.382032365,0.121180914,0.321762472,34.28723526,345.0606384,0.356200367,1.096948504,25.21349907,5.485277176
486.0599976,0.639724255,0.873816609,-0.077555172,0.183822304,0.198049516,0.18295826,33.24947357,346.9530945,0.439206809,1.17327702,24.85458374,5.464475155
486.9599915,0.803822458,0.720412195,0.185195208,-0.08135467,0.246722266,0.076018572,33.46324539,342.7165222,0.23120378,1.188484788,24.77655602,5.245381355
488.0299988,0.541199505,0.866699338,0.024277881,0.060389712,0.199896976,0.43852964,33.38211823,343.0168152,0.499067068,1.322724342,24.84377098,5.111688137
488.9299927,0.630921602,0.708919823,0.059194874,0.200214341,0.30828616,0.217669144,32.81926346,337.8580933,0.265684426,1.242590785,24.16485405,5.524076939
490,0.754950941,0.922601879,0.305687308,0.139773965,0.013132409,0.320616931,32.31579971,336.9190063,0.437121779,1.229645491,23.71300125,4.913978577
491.0400085,0.467419058,0.773918212,0.181735367,0.185895786,0.216279894,0.183371022,31.85486412,332,0.534575999,1.164130569,24.08883286,5.196874619
491.9400024,0.502806664,0.635432184,0.246355504,0.298363626,0.435526401,0.368691474,31.66882706,330.9632263,0.232862696,0.862504005,23.69477081,5.134313107
492.980011,0.655688822,0.647018015,0.165459096,0.151021898,0.184520215,0.33861807,31.81342888,323.6469727,0.231828764,1.302360773,23.58077621,5.059446812
494.019989,0.631876707,0.917344511,0.182808384,0.074596472,0.16511552,0.211268693,30.98562241,320.5869141,0.232831866,1.053968906,23.7827282,4.611011028
495.0700073,0.353335202,0.904722691,-0.032074358,0.244066864,0.121988878,0.166964844,31.37869644,317.8694458,0.417030901,1.143023968,22.9591732,5.133282185
495.9700012,0.642525852,0.708667815,0.255419731,0.090255715,0.356540531,0.396497101,30.00591469,313.4248047,0.338074714,1.328256249,23.02032471,4.719897747
497.0100098,0.366014063,0.564898968,-0.001664219,0.390125155,0.306486845,0.258799642,30.83720779,308.4136963,0.250217289,1.27123487,23.17345047,4.805380344
498.0499878,0.747337699,0.767892301,0.151137337,-0.093385831,0.19947283,0.182901457,29.96414185,308.2852478,0.076142393,1.116672039,23.06322479,4.853271008
498.9500122,0.626101315,0.622371256,0.106196597,0.155612484,0.291792095,0.181807041,29.19651604,302.7323303,0.310863167,1.067124367,22.67259789,4.517307281
500,0.335353702,0.524831235,0.104133584,0.214386925,0.335675567,-0.002579014,28.85503578,299.504364,0.200706556,0.859214187,22.27972603,4.515500546
501.0400085,0.420962334,0.640524745,0.256217331,0.061374698,0.103799246,0.186548457,28.6485157,295.8788147,0.230040774,0.938769341,21.92750168,4.182551861
501.9400024,0.554546177,0.396259397,0.089254871,0.063812017,0.137152091,0.168501392,27.99858856,291.3825989,0.078331962,1.250075579,21.34559631,4.320935249
502.980011,0.350143701,0.319752634,0.055208098,0.152312145,0.044855013,0.151425928,28.32790947,285.0878296,0.377423316,0.982708156,21.4895668,4.28173399
504.019989,0.530730605,0.527914703,0.089400947,0.121458061,0.138139486,0.105277322,27.75920105,285.4160767,0.323648483,1.046137094,21.05511284,4.326820374
505.0700073,0.43648237,0.643941581,0.138273478,0.340278268,-0.079251736,0.135678023,27.83410072,275.9708557,0.337096572,1.043128014,20.77124977,4.263022423
505.9700012,0.792196751,0.597720623,0.150517955,0.090072259,0.213601857,-0.007569422,26.54224586,273.2915649,0.355260432,1.098894238,20.19968796,4.490873814
507.0100098,0.503839135,0.456738979,-0.124061398,-0.033044226,0.25915435,0.339085996,26.4743042,266.9307861,0.322294086,1.134474874,20.04563141,4.329657078
508.0499878,0.394785732,0.5034585,-0.031529516,0.262857258,0.091494612,0.276529551,25.94791031,264.8419495,0.312524021,1.04642117,19.68182373,4.381828308
508.9500122,0.366992801,0.31965062,0.0145606,0.044045664,0.248378962,0.226974666,25.75500488,261.0542603,0.216744289,0.939708233,19.89201736,4.014144421
510,0.410453886,0.648415148,-0.063326254,-0.063901767,0.321584284,0.152680695,25.00406456,254.2945099,0.230139449,1.152349949,19.20335579,4.003518581
511.0599976,0.45687443,0.364185721,0.396062553,-0.050787907,0.390481383,0.21545814,24.88286591,248.5256348,0.250391722,1.124331832,18.87208366,4.071639061
511.9599915,0.446320176,0.672668695,0.334144503,0.303432107,0.170225829,0.305247217,24.53005219,246.0458984,0.267943114,0.819257975,18.377285,3.882113934
513.0300293,0.227114603,0.530882776,0.062222742,0.046502363,0.120851986,0.197878435,24.1542263,244.1342621,0.230164602,0.945190966,18.85181808,3.931782961
513.9299927,0.522509933,0.414787024,0.057973534,0.061216272,0.309610277,0.25790152,23.28352165,239.328537,0.308591098,1.003375411,18.6825428,3.626329184
515,0.560168803,0.366057336,0.076565914,0.229165822,0.199789301,0.180455893,23.4775219,238.2908478,0.262674034,0.989347041,17.63540459,3.678704739
516.0599976,0.472456425,0.610206544,0.362535834,-0.016620083,0.185708582,0.181460038,22.61977577,229.7687531,0.137451187,1.092315316,17.92557907,3.735311985
516.960022,0.291136414,0.167213157,0.196978062,0.168664545,0.171446919,-0.017286638,22.34121704,225.1596527,0.295823932,0.708816648,17.00484085,3.410352468
518.0300293,0.520924032,0.504876554,-0.001321975,0.043872695,0.106356874,0.22576879,22.30893135,222.5723267,0.29792428,0.911943913,17.01442719,3.504717112
518.9299927,0.211266115,0.258215457,0.091738351,0.058341753,-0.017162839,0.121942006,21.62329483,218.8312988,0.168033004,0.941267073,16.66168976,3.216860771
520,0.399058729,0.198978469,-0.002383444,0.351580024,0.398514241,0.214873597,20.93432999,215.9523621,0.203193501,0.802734077,16.51661491,3.677031994
521.039978,0.25780797,0.30578199,0.180149645,0.167297989,0.188177675,0.134831607,21.08436584,209.1849823,0.477047414,1.036216378,16.4246788,3.337138176
521.9400024,0.321082026,0.364782393,0.134763196,0.200746357,0.135430828,0.227396339,20.43434715,206.8823853,0.315531969,0.787903488,16.38751793,3.462393522
522.9799805,0.293268859,0.4123092,-0.017203907,0.075979121,0.074937768,0.182058334,19.93157387,202.3259735,0.340551019,0.869612515,15.3409605,3.078354597
524.0200195,0.599094868,0.385289043,0.057889462,0.170593038,0.233889625,0.167488188,19.69286156,198.1480865,0.109937199,0.819042265,15.01488113,3.407908916
525.0700073,0.30281806,0.324623317,0.106520534,0.135779157,0.089776643,0.042656492,19.40020561,192.7523499,0.31342119,0.791351974,14.6674099,3.140087366
525.9699707,0.508474827,0.639978826,0.198873192,0.228148952,0.184941664,0.167209849,19.69326019,191.740036,0.357150048,0.844731689,14.43911266,3.076980591
527.0100098,0.044701774,0.387174249,0.044173792,0.044459354,0.093055323,0.086097591,19.23679543,186.6859436,0.012985743,0.916750073,14.89748096,2.912885189
528.0499878,0.31234473,0.365240395,0.124382831,0.119355261,0.303733081,0.027350837,18.18481064,181.6694336,0.245986834,0.808565319,14.10134125,3.078514814
528.9500122,0.312118739,0.382150203,0.028269455,-0.091436446,0.120077372,0.193030015,17.43049431,177.9144287,0.124193765,0.644632638,14.16234875,2.715916395
530,0.260707587,0.568997681,0.027941197,0.060096383,0.271926433,0.104394846,17.47542572,174.6806335,0.106510602,0.739570975,13.15430737,2.661917686
531.0200195,0.228398562,0.273318768,0.076460853,-0.109432861,0.045159459,0.274248153,16.64369965,170.5382385,0.109408557,0.961429894,13.00979042,2.692549706
532.0499878,0.364539266,0.486321896,0.181369603,0.074129619,0.261671931,0.275677562,16.87003517,164.539566,0.296461463,0.783653855,12.68250465,2.778123379
532.9400024,0.183416009,0.320690841,0.089743011,0.105653785,0.076236069,0.180525735,16.81443596,163.4970398,0.311681092,0.671654165,13.13569355,3.016578436
533.9699707,0.333626181,0.397023767,0.044039592,0.213811919,0.277623802,0.150360271,15.7923317,157.7693329,0.266536951,0.89706558,12.38689327,2.193768978
535,0.318190336,0.503640533,-0.109564878,0.232107237,-0.078462355,0.135873944,15.32917309,154.3406219,0.39062652,0.725877762,12.2848835,2.500840425
536.0200195,0.229803175,0.273316503,-0.063725673,0.105304219,0.21224153,-0.032205682,14.78448296,150.1036224,0.219300538,0.770321727,11.79026604,2.575730085
537.0499878,0.182306826,0.526079178,0.091822647,0.166211575,0.122357845,0.013465202,14.3493185,145.9846039,0.216751337,0.617918134,11.53632164,2.308405638
537.9400024,0.183948115,0.494823933,0.05885759,0.227946326,-0.094436854,0.043745626,14.76976871,143.1665192,0.172901243,0.494416475,11.41222572,2.570962429
538.9699707,0.073224403,0.166415259,0.042555761,-0.032489724,0.105134673,0.105718128,14.15347672,140.7062988,0.300163239,0.667985618,11.01216221,2.431935787
540,0.167547107,0.363517284,0.408323675,0.169351831,0.364796281,0.119855925,14.37753963,135.6112518,0.153628886,0.568638802,10.71048355,2.205598354
541.039978,-0.059794575,0.213814691,0.24517183,0.210890144,0.213463381,0.423891872,14.07141018,133.5898743,0.144810677,0.567168891,10.21133423,2.505869865
541.9400024,0.339595944,0.397138387,-0.051858902,-0.154272512,0.04246198,-0.049145747,13.32869625,129.6049805,0.370965958,0.538041115,10.591959,1.962034345
542.9799805,0.302642316,0.291953564,0.029675012,0.08889848,0.166675985,0.093018427,12.8476963,127.6717224,0.203067377,0.727393985,10.20653629,2.240613222
544.0200195,0.28843081,0.183199599,0.306115151,-0.019263079,-0.001647333,0.106286347,12.5413866,123.9289551,0.468129426,0.506917357,9.948769569,2.125435591
545.0700073,0.136262387,0.092128344,-0.063966401,-0.019105969,0.060230974,0.355788261,12.339921,120.4690704,0.239180237,0.538904309,9.749752045,2.117557049
545.9699707,0.216748819,0.277620286,0.071202643,0.093475193,-0.033937145,0.215089276,11.96155643,118.8009033,0.028960967,0.692623675,9.634543419,1.963557243
547.0100098,0.215100154,0.259168059,-0.032719411,0.027431101,0.013097222,0.21278666,11.82330894,114.6621399,0.425410926,0.725471497,9.041707039,2.058289766
548.0499878,0.247878119,0.244308293,0.10602691,0.044135761,0.135862142,0.274667352,11.51006794,112.0252991,0.211502701,0.47777608,9.179798126,2.165288687
