proteinID,LFQ.intensity.PD1,LFQ.intensity.PD2,LFQ.intensity.PD3,LFQ.intensity.PD4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.PD1,impute_LFQ.intensity.PD2,impute_LFQ.intensity.PD3,impute_LFQ.intensity.PD4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
O00625,20.096226144577837,19.423903765836595,NA,19.63479332827827,20.459239485588263,20.233390305663537,19.974913074201343,20.11591234727708,20.096226144577837,19.423903765836595,17.2932648826708,19.63479332827827,20.459239485588263,20.233390305663537,19.974913074201343,20.11591234727708,0.13650888306558687,0.864839086785553,1.0838167728416792,1.7184901706958855,0.13650888306558687,2,PIR
O14545,NA,NA,NA,NA,NA,19.35614673392738,19.364356980388052,19.29714913515754,17.779199751664915,17.7896575604575,17.95885277121391,18.544429771182667,17.992499727996705,19.35614673392738,19.364356980388052,19.29714913515754,0.04199272874825761,1.3768259033614452,0.9845031807376721,2.576035031533012,0.04199272874825761,25,TRAFD1
O14561,NA,NA,NA,NA,21.590808141542492,21.49750688272407,21.179192325520425,NA,18.3742884826211,17.90571155427393,17.860839822172974,18.340844899244072,21.590808141542492,21.49750688272407,21.179192325520425,17.454089613863218,0.061311780153060776,1.2124560741936317,2.3099780513345323,2.297481615533885,0.061311780153060776,3,NDUFAB1
O14562,NA,NA,NA,NA,21.075745493670702,20.67245296684183,20.515857655217232,20.29108973975177,18.269979886528464,17.64092418780555,17.631458966356128,18.172960484366897,21.075745493670702,20.67245296684183,20.515857655217232,20.29108973975177,2.6998436319005582e-5,4.568661388348152,2.7099555826061206,11.423017269357484,2.6998436319005582e-5,2,UBFD1
O14579,23.39453700964513,23.236503012117648,23.977448336552662,23.431350689471486,23.650752009805963,22.95191074884136,23.35353238537338,23.26956503283919,23.39453700964513,23.236503012117648,23.977448336552662,23.431350689471486,23.650752009805963,22.95191074884136,23.35353238537338,23.26956503283919,0.3827592714733222,0.41707428070563723,-0.20351971773175848,-0.9415709999232901,0.3827592714733222,4,COPE
O14617,NA,20.636174982647915,19.63159983597783,20.06170870466062,18.45635441510829,18.38675504806824,18.599687694010605,NA,18.376994369087576,20.636174982647915,19.63159983597783,20.06170870466062,18.45635441510829,18.38675504806824,18.599687694010605,16.60555995413821,0.04803750026605411,1.3184196001222692,-1.6645301952621487,-2.4764249043456847,0.04803750026605411,19,AP3D1
O14618,NA,NA,NA,NA,20.133202430493824,19.517550214485585,19.72032108915966,19.289289464938985,17.932066125409207,18.43385541485904,18.189893270533062,17.679679826172404,20.133202430493824,19.517550214485585,19.72032108915966,19.289289464938985,5.644859413026015e-4,3.248346869843058,1.6062171405260877,6.637018577383788,5.644859413026015e-4,9,CCS
O14734,NA,NA,NA,NA,21.123447011870535,21.06467172694038,21.09674088726134,NA,18.161109792863073,17.41837529414341,18.712625787891284,18.989103138459022,21.123447011870535,21.06467172694038,21.09674088726134,18.383939721381125,0.033091524968701366,1.4802832186294588,2.0968963335241497,2.7545563455864035,0.033091524968701366,8,ACOT8
O14744,20.94292107655408,21.717077272884602,NA,22.195444301902036,NA,19.990646911525427,20.465929041692338,20.795427748612056,20.94292107655408,21.717077272884602,17.803329731289857,22.195444301902036,17.760977625631185,19.990646911525427,20.465929041692338,20.795427748612056,0.4769723935050152,0.32150675658964134,-0.9114477637923919,-0.7583322776487375,0.4769723935050152,12,PRMT5
O14745,NA,19.65954999687987,NA,NA,20.406445855317294,20.53221893094537,20.29367370539526,20.139211582010706,17.461423825758253,19.65954999687987,18.276574632253496,17.9205962149199,20.406445855317294,20.53221893094537,20.29367370539526,20.139211582010706,0.005776637264717423,2.238324902473745,2.013351350964278,4.185722019421031,0.005776637264717423,5,SLC9A3R1
O14818,23.03815139984929,22.428158743745126,23.229728306558304,22.72737706878471,24.040761946963237,23.326082711280133,23.73448553769023,23.165717297016393,23.03815139984929,22.428158743745126,23.229728306558304,22.72737706878471,24.040761946963237,23.326082711280133,23.73448553769023,23.165717297016393,0.03650783034710326,1.437613976315667,0.7109079935031382,2.6805819685158285,0.03650783034710326,3,PSMA7
O14828,20.66968785810675,20.640417946429352,19.35928200169059,20.485715336070687,NA,NA,19.471079789336795,NA,20.66968785810675,20.640417946429352,19.35928200169059,20.485715336070687,17.776283684234713,18.287505360078477,19.471079789336795,18.22221189634199,0.008300144741542887,2.080914334141362,-1.8495056030763521,-3.8664314254105405,0.008300144741542887,7,SCAMP3
O14879,NA,20.72033779098175,NA,NA,21.9448521561426,22.239929444522787,22.14223796516581,22.14587991800951,19.201858459528992,20.72033779098175,17.968991755730116,18.337196081532166,21.9448521561426,22.239929444522787,22.14223796516581,22.14587991800951,0.00250409543221826,2.601349123985562,3.061128849016921,4.979053944017927,0.00250409543221826,13,IFIT3
O14910,NA,NA,NA,NA,NA,20.18845845486007,19.926828752033312,20.770560662617914,18.002955480806786,17.613387627008276,18.084169885757085,17.077134911282222,18.10116226901271,20.18845845486007,19.926828752033312,20.770560662617914,0.01624062640517571,1.7893972239209046,2.0523405584174057,3.308223427461974,0.01624062640517571,2,LIN7A
O14933,NA,NA,NA,NA,22.341963950383064,21.90584089033775,22.306246412508152,22.186223076096176,18.72905713609751,18.06621931004666,19.086188473446118,18.22898951877237,22.341963950383064,21.90584089033775,22.306246412508152,22.186223076096176,6.9655911290859545e-6,5.157042021636791,3.6574549727406236,14.420641065004862,6.9655911290859545e-6,3,UBE2L6
O14974,NA,NA,NA,18.66021182355356,20.246439077861005,19.739154304123794,20.013998669270123,19.368966779115325,17.63022083847653,18.297286952297757,17.517003036050944,18.66021182355356,20.246439077861005,19.739154304123794,20.013998669270123,19.368966779115325,0.0015472691326671435,2.810434138358599,1.8159590449978644,5.4773306999274585,0.0015472691326671435,7,PPP1R12A
O14980,21.762756718565203,22.411342367478657,NA,22.673100273303593,NA,22.52264953142871,21.57616322992743,21.834799700214177,21.762756718565203,22.411342367478657,17.35560690076333,22.673100273303593,18.274267832031548,22.52264953142871,21.57616322992743,21.834799700214177,0.9993797609408104,2.694499712059542e-4,0.0012685083727710378,8.102770173397428e-4,0.9993797609408104,20,XPO1
O15027,NA,NA,NA,NA,22.01474789127076,22.433848245501753,22.200541851672643,22.575032292669924,18.136019945034715,17.764906902761,17.989370019797143,18.026361192900367,22.01474789127076,22.433848245501753,22.200541851672643,22.575032292669924,9.983949604489277e-8,7.000697619823857,4.326878055155465,29.536874247713246,9.983949604489277e-8,28,SEC16A
O15042,20.130816876164378,20.42152247065548,NA,20.237480739480795,19.69058801191735,20.13721131126963,20.07965665196951,19.985236018363,20.130816876164378,20.42152247065548,17.691047230187333,20.237480739480795,19.69058801191735,20.13721131126963,20.07965665196951,19.985236018363,0.6085407650387098,0.21571032386222752,0.352956169257876,0.5401532534319822,0.6085407650387098,8,U2SURP
O15067,NA,20.698884368549002,NA,20.096097430205543,19.404555348977595,19.61739213164209,19.68100844196219,20.160541139084334,17.701579593011193,20.698884368549002,17.920533577377185,20.096097430205543,19.404555348977595,19.61739213164209,19.68100844196219,20.160541139084334,0.4598582216860513,0.3373760444711578,0.6116005231308215,0.789526201708403,0.4598582216860513,29,PFAS
O15143,19.92787053451273,20.79360330927941,20.97470305963792,20.404680074061176,20.214897737375814,20.22152104153957,19.96677016504274,19.929662953887135,19.92787053451273,20.79360330927941,20.97470305963792,20.404680074061176,20.214897737375814,20.22152104153957,19.96677016504274,19.929662953887135,0.12099639708878838,0.9172275614831712,-0.44200126991149347,-1.8056826109256765,0.12099639708878838,14,ARPC1B
O15144,23.111859674202616,23.008076358598952,23.681639055189866,22.850527188241784,22.55065285686725,22.72907965800917,22.84661136069615,22.654930535185855,23.111859674202616,23.008076358598952,23.681639055189866,22.850527188241784,22.55065285686725,22.72907965800917,22.84661136069615,22.654930535185855,0.05026714228915015,1.298715803917151,-0.4677069663686986,-2.44298897556616,0.05026714228915015,2,ARPC2
O15145,23.418411633763988,21.579527714735875,22.22925889891503,21.849305826722542,22.88827577512063,22.663186292164795,22.143234968581115,22.410178037728684,23.418411633763988,21.579527714735875,22.22925889891503,21.849305826722542,22.88827577512063,22.663186292164795,22.143234968581115,22.410178037728684,0.5771812407160546,0.238687792592224,0.25709274986444797,0.589264974308378,0.5771812407160546,4,ARPC3
O15160,NA,NA,NA,19.568631586549376,19.85727942001447,19.46231853710967,19.3966131424744,NA,18.58385836028364,17.219264707313755,18.288811363066227,19.568631586549376,19.85727942001447,19.46231853710967,19.3966131424744,18.201398881551132,0.22443897581766412,0.6489017217799857,0.8142609909841667,1.3542339141491242,0.22443897581766412,4,POLR1C
O15212,NA,NA,NA,NA,19.491168060583345,20.158816753104908,19.811619286656345,20.095839967004913,18.156983504542474,18.525778843239827,17.835169726698968,18.175706612675505,19.491168060583345,20.158816753104908,19.811619286656345,20.095839967004913,1.7104536940288088e-4,3.7668886786844045,1.7159513450481825,8.253592391485753,1.7104536940288088e-4,0,PFDN6
O15347,NA,NA,NA,19.6150404621794,20.789071903579636,20.86415893423269,20.483552079742555,20.376341634846625,18.12372215595373,17.714787189256835,18.598900518367042,19.6150404621794,20.789071903579636,20.86415893423269,20.483552079742555,20.376341634846625,0.0025354364748854307,2.5959472661858505,2.115168556661125,4.966606621127795,0.0025354364748854307,3,HMGB3
O15355,20.392049039364185,20.5783763771164,NA,20.04473562605691,19.88624135576897,20.450909176980158,20.17182183090868,20.35035220783591,20.392049039364185,20.5783763771164,18.574926055955846,20.04473562605691,19.88624135576897,20.450909176980158,20.17182183090868,20.35035220783591,0.525659943939494,0.27929511559871933,0.31730936825009337,0.6735816787491125,0.525659943939494,12,PPM1G
O15371,20.71590503076715,21.16220199014733,20.939696855458934,21.27662424450347,20.179374587543393,19.85128238818843,20.910569539944238,20.965713838848412,20.71590503076715,21.16220199014733,20.939696855458934,21.27662424450347,20.179374587543393,19.85128238818843,20.910569539944238,20.965713838848412,0.11978170323526843,0.9216095157599139,-0.5468719415881047,-1.812966925439261,0.11978170323526843,11,EIF3D
O15400,21.297596968481294,21.55407729190708,NA,NA,22.623415358736874,21.728706090996567,21.984019243553686,20.895634446810593,21.297596968481294,21.55407729190708,18.34248659864545,18.790314429094277,22.623415358736874,21.728706090996567,21.984019243553686,20.895634446810593,0.09237426593666052,1.0344489997573278,1.8118249629924073,2.000406492490422,0.09237426593666052,2,STX7
O15533,21.709735084029205,21.966840559296866,21.040594745822542,22.428056484780228,21.028505051827132,21.319978558792393,21.23853069346463,21.777680726763297,21.709735084029205,21.966840559296866,21.040594745822542,22.428056484780228,21.028505051827132,21.319978558792393,21.23853069346463,21.777680726763297,0.22587645203962442,0.6461290425737037,-0.44513296077034425,-1.349471500390642,0.22587645203962442,6,TAPBP
O43143,21.6895731975278,22.42452410453991,21.473281635638816,22.016653247952824,21.3495965592507,21.766967196767816,21.733141138787772,22.325424046663205,21.6895731975278,22.42452410453991,21.473281635638816,22.016653247952824,21.3495965592507,21.766967196767816,21.733141138787772,22.325424046663205,0.7229985877960992,0.14086255099448777,-0.10722581104746354,-0.3715455664254186,0.7229985877960992,14,DHX15
O43169,21.44939855413345,22.766866127360455,NA,22.345920625653005,21.0681537221718,21.709945380232497,21.58201147267282,22.08307023911511,21.44939855413345,22.766866127360455,18.270900790549188,22.345920625653005,21.0681537221718,21.709945380232497,21.58201147267282,22.08307023911511,0.7116475229485748,0.14773505796698772,0.40252367912403386,0.38765904299529597,0.7116475229485748,2,CYB5B
O43175,24.523786383436892,22.997003015272806,NA,23.928409217119544,24.267780534874134,22.621046657683795,23.35487780656656,23.85252874743435,24.523786383436892,22.997003015272806,17.344010505988372,23.928409217119544,24.267780534874134,22.621046657683795,23.35487780656656,23.85252874743435,0.46157244925616236,0.3357601216311524,1.3257561561853066,0.7863652813590832,0.46157244925616236,13,PHGDH
O43242,21.452820364693984,21.289908562826252,21.09448753086995,21.713180076736418,20.031335055617102,20.692853842685793,20.580678134267103,20.77892413555254,21.452820364693984,21.289908562826252,21.09448753086995,21.713180076736418,20.031335055617102,20.692853842685793,20.580678134267103,20.77892413555254,0.0066036977895198275,2.180212809931818,-0.8666513417510195,-4.066252815466676,0.0066036977895198275,2,PSMD3
O43390,21.92961961517873,22.133578736640604,21.984645141628963,21.807073432705586,21.844678184078962,21.95946572175942,21.79546738472456,21.789032091367396,21.92961961517873,22.133578736640604,21.984645141628963,21.807073432705586,21.844678184078962,21.95946572175942,21.79546738472456,21.789032091367396,0.18735998151574637,0.7273231651176224,-0.1165683860558886,-1.4878321150632314,0.18735998151574637,5,HNRNPR
O43395,NA,NA,NA,NA,21.042733458403063,20.89881097011228,20.77715897817203,20.694215036362326,17.69925782909932,17.370265173975135,17.749699096625527,17.675467184794506,21.042733458403063,20.89881097011228,20.77715897817203,20.694215036362326,1.3201527942004392e-7,6.879375800735167,3.229557289638805,28.18491700673191,1.3201527942004392e-7,3,PRPF3
O43396,22.105623379981267,21.935674402154106,22.049130638581154,21.98168712246585,22.99998142575414,22.2315165233842,22.44417472982907,22.73632430033382,22.105623379981267,21.935674402154106,22.049130638581154,21.98168712246585,22.99998142575414,22.2315165233842,22.44417472982907,22.73632430033382,0.014506461557263687,1.8384385085519408,0.5849703590297111,3.3994100866315224,0.014506461557263687,7,TXNL1
O43399,20.418231462576788,NA,21.397960767383847,NA,21.021608984796945,21.353478542419005,20.76765428102658,NA,20.418231462576788,18.01008425691486,21.397960767383847,17.52870912491529,21.021608984796945,21.353478542419005,20.76765428102658,17.824611569408678,0.4934037631792484,0.30679754247954283,0.9030919414651066,0.7291048556328045,0.4934037631792484,1,TPD52L2
O43488,NA,NA,20.60340539800538,20.4833552591364,NA,20.226586234475473,20.311411296815855,20.733554933438793,18.068631361211782,17.65818383774948,20.60340539800538,20.4833552591364,16.725559644936176,20.226586234475473,20.311411296815855,20.733554933438793,0.8155297275333797,0.08856020351592006,0.29588406339081175,0.2437704652764826,0.8155297275333797,8,AKR7A2
O43504,NA,NA,NA,NA,22.035368312481843,21.552389545265697,21.768219869523993,21.148116558631123,18.881460870820764,18.350817559104954,18.4485367798836,18.182862074779496,22.035368312481843,21.552389545265697,21.768219869523993,21.148116558631123,1.1684040796063876e-5,4.932406935310736,3.160104250328459,13.198197554123434,1.1684040796063876e-5,3,LAMTOR5
O43516,NA,NA,NA,NA,21.523295851923752,21.038251892903947,20.788673732009507,20.59659743696121,18.83847157728705,17.667703977018007,17.755636953962306,18.712251278055007,21.523295851923752,21.038251892903947,20.788673732009507,20.59659743696121,3.005629036371374e-4,3.5220646223514627,2.7431887818690086,7.453928696497964,3.005629036371374e-4,1,WIPF1
O43566,NA,NA,NA,NA,20.983706192659348,20.742628517064254,21.17712507839538,21.923575578196317,17.6601477965258,17.884064594429972,17.790406124508305,17.827184696968658,20.983706192659348,20.742628517064254,21.17712507839538,21.923575578196317,1.1809208816574385e-5,4.927779197907737,3.4163080384706426,13.174074840198552,1.1809208816574385e-5,9,RGS14
O43583,19.583123178151137,19.005991798500062,NA,19.04142387324069,20.952621821378248,20.50494309577012,20.43715467212602,19.998243332048634,19.583123178151137,19.005991798500062,17.847832788806897,19.04142387324069,20.952621821378248,20.50494309577012,20.43715467212602,19.998243332048634,0.008252061235494575,2.0834375579481934,1.6036478206560574,3.871443747389223,0.008252061235494575,7,DENR
O43615,21.448541831876323,21.277475844221776,21.563231656786954,21.382898389464508,19.997140880917797,20.677709320125143,20.473281635638816,20.668563017102663,21.448541831876323,21.277475844221776,21.563231656786954,21.382898389464508,19.997140880917797,20.677709320125143,20.473281635638816,20.668563017102663,0.0013087122972846507,2.8831558167301687,-0.963863217141288,-5.658542509471094,0.0013087122972846507,6,TIMM44
O43665,20.315176102958027,NA,NA,NA,21.660664477461278,21.94410148786023,20.996934077509522,20.16925464844434,20.315176102958027,18.238424101095593,17.899242851514472,17.733254784728064,21.660664477461278,21.94410148786023,20.996934077509522,20.16925464844434,0.010214052037703581,1.990801933867404,2.646214212744802,3.6895609475126245,0.010214052037703581,1,RGS10
O43670,20.638739931745558,NA,NA,NA,21.86876228049449,21.57906728994072,22.09155289597475,21.97081226559539,20.638739931745558,18.667174815781834,17.880428579887855,17.89811848440767,21.86876228049449,21.57906728994072,22.09155289597475,21.97081226559539,0.003258185820638322,2.487024150667,3.1064332300456066,4.719947699255676,0.003258185820638322,5,ZNF207
O43678,18.375514638526536,NA,NA,18.373349481139783,19.283174285474804,20.086151778377243,19.063790040830565,NA,18.375514638526536,17.938205801228307,18.34877638213127,18.373349481139783,19.283174285474804,20.086151778377243,19.063790040830565,18.11496723086857,0.08113814451440719,1.0907749280633916,0.8780592581313229,2.094089101062481,0.08113814451440719,2,NDUFA2
O43681,NA,20.793444553291252,NA,20.457637380991763,21.22852514357626,21.520325173606267,21.436900600477003,22.303657019858832,17.951654648979037,20.793444553291252,17.96980285416024,20.457637380991763,21.22852514357626,21.520325173606267,21.436900600477003,22.303657019858832,0.027874995688333657,1.5547851911198562,2.3292171250240195,2.8850002793622425,0.027874995688333657,8,GET3
O43684,21.264591498757056,21.33717978940252,21.652853723794546,21.23309768755798,21.410385098373588,21.208601121198967,21.34975851726994,21.49189223140654,21.264591498757056,21.33717978940252,21.652853723794546,21.23309768755798,21.410385098373588,21.208601121198967,21.34975851726994,21.49189223140654,0.9542437279618761,0.020340685893403147,-0.006771432815767753,-0.05981732755568621,0.9542437279618761,8,BUB3
O43707,23.35850418897251,23.395975454853783,23.48369967757796,23.70176332427549,22.161433315299437,22.921307060893227,22.91694148306844,23.078891551252315,23.35850418897251,23.395975454853783,23.48369967757796,23.70176332427549,22.161433315299437,22.921307060893227,22.91694148306844,23.078891551252315,0.017454763314378535,1.7580860358189383,-0.7153423087915769,-3.2505288308630296,0.017454763314378535,8,ACTN4
